latest_date,stock_id,name,market,observed_days,close,pe_ratio,dividend_yield,pb_ratio,1d_avg_price,close_vs_avg_pct,1d_volume_lot,latest_volume_lot,volume_avg_lot,volume_5d_avg_lot,volume_ratio_1d,volume_ratio_5d,volume_score,volume_signal,1d_foreign_net_lot,1d_trust_net_lot,1d_inst_net_lot,foreign_net_volume_pct,trust_net_volume_pct,foreign_buy_streak,foreign_sell_streak,trust_buy_streak,trust_sell_streak,latest_foreign_net_lot,latest_trust_net_lot,top_buy_branch_name,top_buy_branch_net_lot,top_buy_branch_avg_price,top_sell_branch_name,top_sell_branch_net_lot,top_sell_branch_avg_price,branch_score,chip_score,margin_balance_change_lot,short_balance_change_lot,margin_score,base_score,branch_status,confluence_score,complete_chip_score,confluence_inst_score,confluence_branch_score,confluence_price_score,confluence_streak_score,confluence_direction_score,revenue_momentum_score,selection_score,revenue_month,revenue_mom_pct,revenue_yoy_pct,revenue_cumulative_yoy_pct,inst_net_volume_pct,top_buy_branch_volume_pct,close_vs_top_buy_avg_pct,selection_reason,base_reason,total_score
2026-05-18,2313,華通,TWSE,1,259.0,45.68,1.08,6.59,251.0199,3.18,97275.86,97275.86,97275.86,97275.86,1.0,1.0,0.0,正常,13246.97,2297.0,15543.97,13.62,2.36,1,0,1,0,13246.97,2297.0,,,,,,,0.0,42.4,-605,385,0.86,43.47,未取得,0.0,43.47,0.0,0.0,0.0,0.0,0.0,0.21,43.47,2026-04,-9.04,-2.86,11.33,,,,營收 2026-04，月增 -9.04%，年增 -2.86%，累計年增 11.33%,外資買超；投信買超；融資下降；營收 2026-04，月增 -9.04%，年增 -2.86%，累計年增 11.33%,43.47
2026-05-18,2615,萬海,TWSE,1,76.9,7.1,3.9,0.75,77.0159,-0.15,16577.35,16577.35,16577.35,16577.35,1.0,1.0,0.0,正常,7066.82,0.0,7066.82,42.63,0.0,1,0,0,0,7066.82,0.0,,,,,,,0.0,40.0,-543,17,3.28,47.73,未取得,0.0,47.73,0.0,0.0,0.0,0.0,0.0,4.45,47.73,2026-04,22.89,13.05,-4.03,,,,營收 2026-04，月增 22.89%，年增 13.05%，累計年增 -4.03%,外資買超；融資下降；營收 2026-04，月增 22.89%，年增 13.05%，累計年增 -4.03%,47.73
2026-05-18,2409,友達,TWSE,1,19.25,60.16,2.08,0.97,18.807,2.36,207880.66,207880.66,207880.66,207880.66,1.0,1.0,0.0,正常,6297.95,7.0,6304.95,3.03,0.0,1,0,1,0,6297.95,7.0,,,,,,,0.0,18.99,-2498,-120,1.18,16.87,未取得,0.0,16.87,0.0,0.0,0.0,0.0,0.0,-3.3,16.87,2026-04,-15.07,-4.48,-4.31,,,,營收 2026-04，月增 -15.07%，年增 -4.48%，累計年增 -4.31%,外資買超；投信買超；融資下降；營收 2026-04，月增 -15.07%，年增 -4.48%，累計年增 -4.31%,16.87
2026-05-18,2891,中信金,TWSE,1,54.8,13.7,4.56,2.13,54.9716,-0.31,30347.4,30347.4,30347.4,30347.4,1.0,1.0,0.0,正常,6136.73,-3561.24,2575.5,20.22,-11.73,1,0,0,1,6136.73,-3561.24,,,,,,,0.0,7.29,-21,4,0.07,24.74,未取得,0.0,24.74,0.0,0.0,0.0,0.0,0.0,17.38,24.74,2026-04,50.38,93.98,11.1,,,,營收 2026-04，月增 50.38%，年增 93.98%，累計年增 11.1%,外資買超；融資下降；營收 2026-04，月增 50.38%，年增 93.98%，累計年增 11.1%,24.74
2026-05-18,2542,興富發,TWSE,1,44.6,13.72,8.97,1.71,44.3601,0.54,19426.03,19426.03,19426.03,19426.03,1.0,1.0,0.0,正常,5337.35,29.5,5366.85,27.48,0.15,1,0,1,0,5337.35,29.5,,,,,,,0.0,42.88,-40,-1,0.2,63.44,未取得,0.0,63.44,0.0,0.0,0.0,0.0,0.0,20.36,63.44,2026-04,-0.36,4077.66,1725.22,,,,營收 2026-04，月增 -0.36%，年增 4077.66%，累計年增 1725.22%,外資買超；投信買超；融資下降；營收 2026-04，月增 -0.36%，年增 4077.66%，累計年增 1725.22%,63.44
2026-05-18,8028,昇陽半導體,TWSE,1,278.5,61.62,1.01,9.2,275.9332,0.93,23298.03,23298.03,23298.03,23298.03,1.0,1.0,0.0,正常,5167.41,-40.0,5127.41,22.18,-0.17,1,0,0,1,5167.41,-40.0,,,,,,,0.0,37.07,-377,-162,1.41,47.53,未取得,0.0,47.53,0.0,0.0,0.0,0.0,0.0,9.05,47.53,2026-04,-2.05,31.15,23.06,,,,營收 2026-04，月增 -2.05%，年增 31.15%，累計年增 23.06%,外資買超；融資下降；營收 2026-04，月增 -2.05%，年增 31.15%，累計年增 23.06%,47.53
2026-05-18,5871,中租-KY,TWSE,1,110.0,10.3,5.45,1.08,109.9419,0.05,15438.95,15438.95,15438.95,15438.95,1.0,1.0,0.0,正常,3610.15,-209.44,3400.72,23.38,-1.36,1,0,0,1,3610.15,-209.44,,,,,,,0.0,34.11,-264,2,1.72,33.97,未取得,0.0,33.97,0.0,0.0,0.0,0.0,0.0,-1.86,33.97,2026-04,-5.52,-3.87,-3.12,,,,營收 2026-04，月增 -5.52%，年增 -3.87%，累計年增 -3.12%,外資買超；融資下降；營收 2026-04，月增 -5.52%，年增 -3.87%，累計年增 -3.12%,33.97
2026-05-18,2312,金寶,TWSE,1,28.45,27.36,2.11,1.91,27.6644,2.84,22712.71,22712.71,22712.71,22712.71,1.0,1.0,0.0,正常,3559.09,0.0,3559.09,15.67,0.0,1,0,0,0,3559.09,0.0,,,,,,,0.0,40.0,-1543,211,7.35,45.05,未取得,0.0,45.05,0.0,0.0,0.0,0.0,0.0,-2.3,45.05,2026-04,2.58,-3.49,-12.41,,,,營收 2026-04，月增 2.58%，年增 -3.49%，累計年增 -12.41%,外資買超；融資下降；營收 2026-04，月增 2.58%，年增 -3.49%，累計年增 -12.41%,45.05
2026-05-18,5425,台半,TPEX,1,77.9,36.4,2.57,2.41,75.6907,2.92,20500.0,20500.0,20500.0,20500.0,1.0,1.0,0.0,正常,2983.72,0.0,2983.72,14.55,0.0,1,0,0,0,2983.72,0.0,,,,,,,0.0,39.64,-150,31,0.82,41.0,未取得,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.54,41.0,2026-04,2.35,2.6,-1.32,,,,營收 2026-04，月增 2.35%，年增 2.6%，累計年增 -1.32%,外資買超；融資下降；營收 2026-04，月增 2.35%，年增 2.6%，累計年增 -1.32%,41.0
2026-05-18,4960,誠美材,TWSE,1,33.5,,0.0,2.62,32.5519,2.91,12565.12,12565.12,12565.12,12565.12,1.0,1.0,0.0,正常,2798.0,0.0,2798.0,22.27,0.0,1,0,0,0,2798.0,0.0,,,,,,,0.0,40.0,-1374,-97,7.77,46.72,未取得,0.0,46.72,0.0,0.0,0.0,0.0,0.0,-1.05,46.72,2026-04,15.24,-5.56,-11.71,,,,營收 2026-04，月增 15.24%，年增 -5.56%，累計年增 -11.71%,外資買超；融資下降；營收 2026-04，月增 15.24%，年增 -5.56%，累計年增 -11.71%,46.72
